id,direction,clue,answer
1,across,twoem acrossum,AAAA
5,across,twoem acrossum,AAAAA
10,across,twoem acrossum,AAAA
14,across,twoem acrossum,AAAA
15,across,twoem acrossum,AAAAA
16,across,twoem acrossum,AAAA
17,across,twoem acrossum,AAAA
18,across,twoem acrossum,AAAAA
19,across,twoem acrossum,AAAA
20,across,twoem acrossum,AAA
21,across,twoem acrossum,AAAA
22,across,twoem acrossum,AAAAAA
24,across,twoem acrossum,AAAAA
26,across,twoem acrossum,AAAAA
27,across,twoem acrossum,AAAAAA
29,across,twoem acrossum,AAAAA
30,across,twoem acrossum,AA
32,across,twoem acrossum,AAAAA
33,across,twoem acrossum,AAAAA
34,across,twoem acrossum,AAA
35,across,twoem acrossum,AAAA
36,across,twoem acrossum,AAAAA
37,across,twoem acrossum,AAAA
38,across,twoem acrossum,AAA
39,across,twoem acrossum,AAAAA
40,across,twoem acrossum,AAAAA
41,across,twoem acrossum,AA
42,across,twoem acrossum,AAAAA
43,across,twoem acrossum,AAAAAA
44,across,twoem acrossum,AAAAA
45,across,twoem acrossum,AAAAA
46,across,twoem acrossum,AAAAAA
48,across,twoem acrossum,AAAA
49,across,twoem acrossum,AAA
52,across,twoem acrossum,AAAA
53,across,twoem acrossum,AAAAA
55,across,twoem acrossum,AAAA
56,across,twoem acrossum,AAAA
57,across,twoem acrossum,AAAAA
58,across,twoem acrossum,AAAA
59,across,twoem acrossum,AAAA
60,across,twoem acrossum,AAAAA
61,across,twoem acrossum,AAAA
1,down,twosum downsum,AAAA
2,down,twosum downsum,AAAA
3,down,twosum downsum,AAAAAAAAA
4,down,twosum downsum,AAA
5,down,twosum downsum,AAAAAA
6,down,twosum downsum,AAAAA
7,down,twosum downsum,AAAA
8,down,twosum downsum,AAA
9,down,twosum downsum,AAAAAAAA
10,down,twosum downsum,AAAAAA
11,down,twosum downsum,AAAAA
12,down,twosum downsum,AAAA
13,down,twosum downsum,AAAA
21,down,twosum downsum,AAAA
23,down,twosum downsum,AAAA
25,down,twosum downsum,AAAA
26,down,twosum downsum,AAAAA
27,down,twosum downsum,AAAAA
28,down,twosum downsum,AAAAA
29,down,twosum downsum,AAAAA
30,down,twosum downsum,AAAAA
31,down,twosum downsum,AAAAA
33,down,twosum downsum,AAAAA
34,down,twosum downsum,AAAAAAAAA
36,down,twosum downsum,AAAAAAAA
37,down,twosum downsum,AAAA
39,down,twosum downsum,AAAA
40,down,twosum downsum,AAAA
42,down,twosum downsum,AAAAAA
43,down,twosum downsum,AAAAAA
44,down,twosum downsum,AAAAA
45,down,twosum downsum,AAAAA
46,down,twosum downsum,AAAA
47,down,twosum downsum,AAAA
48,down,twosum downsum,AAAA
50,down,twosum downsum,AAAA
51,down,twosum downsum,AAAA
54,down,twosum downsum,AAA
55,down,twosum downsum,AAA
